,Unnamed: 0,clear_street,id,district
257,35,Суворовская площадь дом 2,1, Мещанский район
258,34,Софийская набережная дом 26/1,1, район Якиманка
259,32,Садовая-Сухаревская улица дом 2/34,1, Мещанский район
260,15,Коровинское шоссе дом 46,1, Дмитровский район
261,2,2-я Брестская улица дом 1,1, Пресненский район
262,3,2-я Брестская улица дом 5,1, Пресненский район
263,4,5-й Котельнический переулок дом 11,1, Таганский район
264,5,Алтуфьевское шоссе дом 52А,1, Алтуфьевский район
265,7,Большая Бронная улица дом 20/1/27,1, Пресненский район
266,8,Большая Серпуховская улица дом 48,1, микрорайон Шепчинки
267,9,Варшавское шоссе владение 99А,1, район Чертаново Северное
268,10,Вознесенский переулок дом 7,1, Пресненский район
269,11,Вспольный переулок дом 19/20,1, Пресненский район
270,12,Дербеневская улица дом 11А,1, Даниловский район
271,13,Калашный переулок дом 8А/5,1, Пресненский район
272,14,Киевская улица дом 7,1, муниципальный округ Московская Застава
273,16,Краснобогатырская улица дом 90,1, район Преображенское
274,31,Профсоюзная улица дом 118Б,1, район Коньково
275,17,Ленинградский проспект дом 37,1, Хорошёвский район
276,18,Ленинградский проспект дом 39,1, Хорошёвский район
277,19,Ленинский проспект владение 164,1, район Тропарёво-Никулино
278,20,Медынская улица дом 11А,1, район Бирюлёво Западное
279,21,Митинская улица дом 28,1, район Митино
280,22,Нижний Таганский тупик дом 3,1,
281,24,Николоямская улица дом 38/14/23,1, Таганский район
282,25,Новоданиловская набережная дом 6,1, Донской район
283,27,Погодинская улица дом 4,1, район Хамовники
284,28,Полевая улица дом 20,1,
285,29,Поречная улица дом 5/14,1, район Марьино
286,30,Проектируемый проезд N 5231 дом 8,1, район Очаково-Матвеевское
287,78,город Москва 1-й Сельскохозяйственный проезд,1, район Ростокино
288,79,город Москва 1-й Сетуньский проезд,1, район Раменки
289,80,город Москва 1-й Силикатный проезд,1, район Хорошёво-Мнёвники
290,172,город Москва 2-я Напрудная улица,1, Лосиноостровский район
291,147,город Москва 2-й Новоподмосковный переулок,1, Войковский район
292,148,город Москва 2-й Обыденский переулок,1, район Хамовники
293,150,город Москва 2-й Полевой переулок,1, район Сокольники
294,151,город Москва 2-й Рощинский проезд,1, Донской район
295,152,город Москва 2-й Сельскохозяйственный проезд,1, район Ростокино
296,153,город Москва 2-й Сетуньский проезд,1, район Раменки
297,155,город Москва 2-й Стрелецкий проезд,1, район Марьина Роща
